50
2.9262442304992415	-1.1790661070077952
3.6489578575744788	-0.6172480497013888
1.5436747534440527	-0.449121799172322
2.3538540730438453	-3.7619175641732125
1.1417026392006178	-2.1744103060389963
4.600733769184506	-2.4748977034718775
2.9684032527113353	-0.864810256335196
3.1085793380560487	-2.3901341777405634
1.509166714447835	-3.2555092416982916
6.5246041689846646	-2.8018138714769436
5.027860432641496	-2.5305299024215326
1.7890320395221668	-3.051157280896448
2.560570666485796	-2.4272764031813474
3.788804596784226	-4.119577229014102
2.7584484916873833	-1.962906814791944
0.6809113072909723	-1.8815632060364789
4.6949719927612765	-1.7543013285427769
4.170870104685111	-3.4896112136872377
2.3223950533633193	-1.4341600945833224
2.3877283728495606	-3.2429095602668006
3.512832375769538	-1.7436603190338946
3.5193743041923065	-2.2345659565305604
3.6673947539359517	-1.0491027356959122
4.400877666605263	-3.3771590664989466
3.0542468284561703	-2.8388108474480913
0.44912179917232176	-5.017820827358746
2.685382677835649	-0.7155689467169486
4.862698232625926	-0.9839342345275783
1.9041385865760312	-1.635557536902195
2.178187877020733	-3.0272127716703854
2.8810774115434223	-2.598302734653445
3.294031927828013	-3.546953573388537
5.506866971798379	-2.015045762876521
4.2386316564645	-0.8471451300200084
3.2695295118303522	-1.425272448111615
2.1802714588975904	-2.39898767904554
2.635625212819595	-1.5937388064823144
4.952659279899473	-1.5838902662940537
1.192902914486488	-3.4844796399692535
2.4029656763606484	-2.1828597968899532
3.79400458651863	-3.0286856349841753
3.2731669391637523	-3.249213013703672
3.0891520399078285	-3.996880474961068
4.377655261599269	-2.9278602969475775
3.8276307715913767	-1.5147245806082852
0.44912179917232153	-2.6816723090008034
7.557349549466263	-2.9813497616389526
3.741513194057784	-2.5282322076449324
4.452357473491614	-5.017820827358746
2.5305978296038405	-2.9872495006647144
100
1	2	0.23
2	21	0.078
4	31	0.0078
4	43	0.49
5	16	0.27
6	17	0.38
6	18	0.41
6	22	0.73
6	24	0.2
6	48	0.63
7	1	0.41
7	45	0.55
8	19	0.3
8	21	0.96
8	41	0.52
9	13	0.43
10	11	0.84
10	47	0.17
11	21	0.38
12	5	0.9
12	42	0.67
13	29	0.11
14	18	0.57
15	13	0.68
15	21	0.43
15	29	0.41
15	50	0.45
16	29	0.63
16	46	0.48
17	11	0.73
17	28	0.11
17	33	0.47
18	11	0.51
18	43	0.97
19	3	0.84
19	5	0.83
19	7	0.38
19	13	0.062
20	32	0.13
20	50	0.67
21	37	0.64
22	1	0.28
22	13	0.81
23	17	0.34
23	19	0.53
24	18	0.88
25	21	0.59
25	30	0.32
25	31	0.9
27	19	0.8
27	21	0.12
28	45	0.21
29	1	0.55
29	37	0.95
30	8	0.51
30	31	0.23
31	36	0.3
31	37	0.9
31	41	0.72
32	4	0.77
32	8	0.79
32	14	0.68
33	6	0.46
34	2	0.8
34	17	0.77
35	1	0.38
35	8	0.98
35	34	0.54
35	40	0.12
36	13	0.8
36	15	0.12
36	19	0.83
36	20	0.37
36	40	0.94
37	7	0.24
37	40	0.88
38	6	0.96
39	4	0.45
39	30	0.97
39	46	0.71
40	20	0.93
40	50	0.16
41	24	0.93
42	13	0.031
42	14	0.46
42	18	0.85
42	22	0.47
42	24	0.23
42	25	0.22
44	17	0.66
44	32	0.26
44	41	0.7
45	15	0.7
45	31	0.29
45	38	0.59
46	5	0.93
48	8	0.66
48	13	0.7
50	36	0.9
50	43	0.14
1
1	46
